ID_Arquivo,pH,PCO2,PO2,Na,K,Cl,Hct,Hb,BE,HCO3
IMG-20230419-WA0086.txt,,,,,,,,,,
IMG-20230429-WA0025.txt,,,,,,,,,,
IMG-20230607-WA0073.txt,,,,,,,,,,
IMG-20230608-WA0003.txt,7.478,,,,,,,,,
IMG-20230608-WA0004.txt,,,,,,,9,,,
IMG-20230614-WA0073.txt,,,,,,,,,,
IMG-20230616-WA0008.txt,,,,,,,,,,
IMG-20230823-WA0045.txt,,,,,3.8,123,,,,
IMG-20230825-WA0001.txt,,37.4,,,,,,,-9,
IMG-20230830-WA0059.txt,,,,,,,,,,
IMG-20230903-WA0012.txt,,,,,,,,,,
IMG-20230903-WA0022.txt,,,,,,,,,,
IMG-20230904-WA0003.txt,,,,,,,,,,
IMG-20230904-WA0007.txt,,,,,,,,,,
IMG-20231213-WA0116.txt,7.279,27.3,,,,,,,,12.8
IMG-20231214-WA0047.txt,,,,,3.2,,24,,,
IMG-20240221-WA0031.txt,,,,146,,,,,,
IMG-20240221-WA0097.txt,,,,,,,,,,17.4
IMG-20240222-WA0000.txt,,,,,,,,,,
IMG-20240308-WA0043.txt,,,,,,,,,,
IMG-20240309-WA0069.txt,,,,,,,,,,
IMG-20240315-WA0026.txt,7.407,,,,,,,,,
IMG-20240327-WA0021.txt,,,,,,,,,,
IMG-20240406-WA0012.txt,,,,,147,,,,,
IMG-20240426-WA0013.txt,,,,,,,,,,
IMG-20240429-WA0060.txt,,,,,,,,,-2,
IMG-20240430-WA0015.txt,,,,,,,,,,
IMG-20240501-WA0012.txt,7.451,,,,,,,,,
IMG-20240502-WA0006.txt,7.495,,,,,,,,-4,
IMG-20240503-WA0014.txt,,,,,,,,,,
IMG-20240504-WA0030.txt,,,,,,,,,,
IMG-20240507-WA0047.txt,,,,,,,,12.2,-4,
IMG-20240518-WA0053.txt,,,,,,,,,,
IMG-20240721-WA0003.txt,,,,,,,,,1,25.6
IMG-20240721-WA0021.txt,,38.7,,139,,,,,-1,
IMG-20240723-WA0074.txt,,,,,,,,,,
IMG-20240911-WA0043.txt,,25.9,,149,,,,,,
IMG-20241031-WA0079.txt,,,,,4.1,,,,,
IMG-20241101-WA0000.txt,,,,,,,,,-2,
IMG-20250412-WA0037.txt,,,,,,,,,,
IMG-20250417-WA0118.txt,,,,145,,,38,,,
IMG-20250419-WA0020.txt,,28.6,,,,,,,,
IMG-20250507-WA0068.txt,,,,,,,,10.9,,24.3
IMG-20250514-WA0057.txt,,,,,,,,,,
